#separator:comma
#html:false
指輪,ゆびわ Ring
赤ん坊,あかんぼう Baby
騒ぐ,さわぐ To make noise
通る,とおる To pass
漬ける,つける To soak
電報,でんぽう Telegram
飛行場,ひこうじょう Airport
品物,しなもの Goods
優しい,やさしい Kind
贈り物,おくりもの Gift
決まる,きまる To be decided
決める,きめる To decide
一杯,いっぱい Full
喜ぶ,よろこぶ To be happy
高等学校,こうとうがっこう High school
思い出す,おもいだす To recall
暖房,だんぼう Heating
逃げる,にげる To escape
変,へん Strange
又は,または Or
泥棒,どろぼう Thief
楽しむ,たのしむ To enjoy
見える,みえる To be visible
受ける,うける To receive
探す,さがす To search
下宿,げしゅく Lodging
始める,はじめる To begin
手袋,てぶくろ Gloves
申し上げる,もうしあげる To say (humble)
発音,はつおん Pronunciation
落とす,おとす To drop
厳しい,きびしい Strict
残る,のこる To remain
小鳥,ことり Small bird
遠慮,えんりょ Restraint
壊す,こわす To break
汽車,きしゃ Train
踏む,ふむ To step on
踏み鳴らす,ふみならす To stamp
拒む,こばむ To refuse
家内,かない Wife
間に合う,まにあう To be on time
急行,きゅうこう Express train
集まる,あつまる To gather
通う,かよう To commute
怒る,おこる To get angry
柔らかい,やわらかい Soft
壊れる,こわれる To break (intransitive)
申す,もうす To say (humble)
払う,はらう To pay
増える,ふえる To increase
玩具,おもちゃ Toy
急ぐ,いそぐ To hurry
不便,ふべん Inconvenient
文法,ぶんぽう Grammar
木綿,もめん Cotton
深い,ふかい Deep
沸かす,わかす To boil
役に立つ,やくにたつ To be useful
乗り換える,のりかえる To transfer (trains, etc.)
引き出す,ひきだす To withdraw
向かう,むかう To face
別れる,わかれる To part
下がる,さがる To lower
迎える,むかえる To welcome
進む,すすむ To advance
正しい,ただしい Correct
大抵,たいてい Generally
致す,いたす To do (humble)
電灯,でんとう Electric light
冷える,ひえる To cool
写す,うつす To copy
用事,ようじ Errand
聞こえる,きこえる To be heard
以外,いがい Except
治る,なおる To be cured
汚れる,よごれる To get dirty
尋ねる,たずねる To ask
塗る,ぬる To paint
光る,ひかる To shine
勝つ,かつ To win
恥ずかしい,はずかしい Embarrassing
滑る,すべる To slip
似る,にる To resemble
泊まる,とまる To stay (overnight)
負ける,まける To lose
眠い,ねむい Sleepy
間違える,まちがえる To make a mistake
拝見,はいけん To look at (humble)
差し上げる,さしあげる To give (humble)
歯医者,はいしゃ Dentist
謝る,あやまる To apologize
味噌,みそ Miso
珍しい,めずらしい Rare
忘れ物,わすれもの Lost item
寂しい,さびしい Lonely
過ぎる,すぎる To pass
変える,かえる To change
参る,まいる To go (humble)
釣る,つる To fish
悲しい,かなしい Sad
捕まえる,つかまえる To catch
積もり,つもり To accumulate
触る,さわる To touch
予習,よしゅう Preparation
復習,ふくしゅう Review
折る,おる To fold
片付ける,かたづける To tidy up
見つける,みつける To find
移る,うつる To move (house)
済む,すむ To finish
直す,なおす To fix
拾う,ひろう To pick up
眠る,ねむる To sleep
褒める,ほめる To praise
足す,たす To add
足りる,たりる To be sufficient
濡れる,ぬれる To get wet
鳴る,なる To ring
降り出す,ふりだす To start falling (rain, snow)
調べる,しらべる To investigate
筈,はず Should
慣れる,なれる To get used to
億,おく Hundred million
投げる,なげる To throw
戻る,もどる To return
寄る,よる To approach
召し上がる,めしあがる To eat (respectful)
植える,うえる To plant
浅い,あさい Shallow
太る,ふとる To gain weight
祈る,いのる To pray
捨てる,すてる To throw away
手伝う,てつだう To help
葡萄,ぶどう Grapes
込む,こむ To be crowded
回る,まわる To turn
遅れる,おくれる To be late
お宅,おたく Your home
この間,このあいだ The other day
この頃,このごろ Recently
遠く,とおく Distant
育てる,そだてる To raise
苛める,いじめる To bully
開く,ひらく To open
割れる,われる To break
噛む,かむ To bite
乾く,かわく To dry
泣く,なく To cry
驚く,おどろく To be surprised
建てる,たてる To build
お礼,おれい Gratitude
再来月,さらいげつ In two months
暫く,しばらく For a while
止む,やむ To stop
止める,やめる To stop (something)
取り替える,とりかえる To exchange
床屋,とこや Barbershop
焼く,やく To bake
焼ける,やける To be baked
寝坊,ねぼう Oversleeping
成るべく,なるべく As much as possible
折れる,おれる To break
続く,つづく To continue
続ける,つづける To keep going
伝える,つたえる To convey
届ける,とどける To deliver
非常に,ひじょうに Extremely
米,こめ Rice
別,べつ Separate
