安全  あんぜん
悲しい　かなしい
捕まえる　つかまえる
積もり　つもり
触る　さわる
予習　よしゅう
復習　ふくしゅう
折る　おる
片付ける　かたづける
見つける　みつける
移る　うつる
済む　すむ
直す　なおす
拾う　ひろう
眠る　ねむる
褒める　ほめる
足す　たす
足りる　たりる
濡れる　ぬれる
鳴る　なる
降り出す　ふりだす
調べる　しらべる
筈　はず
慣れる　なれる
億　おく
投げる　なげる
戻る　もどる
寄る　よる
召し上がる　めしあがる
植える　うえる
浅い　あさい
太る　ふとる
祈る　いのる
捨てる　すてる
手伝う　手伝う
葡萄　ぶどう
込む　こむ
回る　まわる
遅れる　おくれる
お宅　お宅
この間　このあいだ
この頃　このごろ


遠く　とおく
育てる　そだてる
苛める　いじめる
開く　ひらく
割れる　われる
噛む　かむ
乾く　かわく
泣く　なく
驚く　おどろく
建てる　たてる
お礼　おれい
再来月　さらいげつ
暫く　しばらく
止む　やむ
止める　やめる
取り替える　とりかえる
床屋　とこや
焼く　やく
焼ける
寝坊　ねぼう
成るべく　なるべく
折れる　おれる
続く　つづく
続ける　つづける
伝える　つたえる
届ける　とどける
非常に　ひじょうに
米　こめ
別　べつ
亡くなる　なくなる
殆ど　ほとんど
無くなる　なくなる
踊る　おどる
揺れる　ゆれる
立てる　たてる
受付　うけつけ
押入れ　おしいれ
ご馳走　ごちそう
髭　ひげ
酷い　ひどい
痩せる　やせる
沸く　わく
お祝い　おいわい
治る　なおる
けれど
それほど
仰る　おっしゃる
付く　つく
ご覧になる　
お金持ち
お見舞い　おみまい
ちっとも
やっと
可笑しい　おかしい
掏摸　すり
しっかり
お祭り　おまつり
都市　とし
たまに
すっかり
すっと
どんどん
はっきり
